h,demand,cf_wind,cf_solar,cf_gas
h4821,14301.7,0.377,0.021,1.0
h4822,13801.2,0.368,0.0,1.0
h4823,12973.3,0.361,0.0,1.0
h4824,13540.8,0.397,0.0,1.0
h4825,13610.7,0.268,0.0,1.0
h4826,14160.6,0.196,0.0,1.0
h4827,14518.5,0.31,0.019,1.0
h4828,15715.4,0.239,0.0,1.0
h4829,16541.6,0.22,0.0,1.0
h4830,15738.0,0.246,0.033,1.0
h4831,18046.0,0.503,0.0,1.0
h4832,17118.5,0.315,0.0,1.0
h4833,19149.8,0.333,0.143,1.0
h4834,19641.1,0.206,0.17,1.0
h4835,17904.6,0.156,0.207,1.0
h4836,19599.5,0.238,0.149,1.0
h4837,19039.6,0.418,0.254,1.0
h4838,18502.6,0.33,0.178,1.0
h4839,19713.2,0.351,0.165,1.0
h4840,17493.7,0.362,0.126,1.0
h4841,16660.0,0.255,0.133,1.0
h4842,16608.3,0.414,0.048,1.0
h4843,16346.0,0.252,0.014,1.0
h4844,14994.0,0.415,0.002,1.0
h4845,15458.7,0.338,0.0,1.0
h4846,14518.8,0.159,0.0,1.0
h4847,12101.2,0.242,0.054,1.0
h4848,13370.5,0.159,0.0,1.0
h4849,13501.0,0.395,0.012,1.0
h4850,14688.0,0.3,0.011,1.0
h4851,12734.7,0.123,0.035,1.0
h4852,17546.1,0.332,0.042,1.0
h4853,16703.2,0.259,0.0,1.0
h4854,17218.1,0.183,0.016,1.0
h4855,18861.0,0.436,0.053,1.0
h4856,20550.7,0.31,0.052,1.0
h4857,20027.0,0.278,0.072,1.0
h4858,20596.9,0.269,0.135,1.0
h4859,20271.4,0.18,0.14,1.0
h4860,20184.9,0.196,0.211,1.0
h4861,19845.3,0.404,0.239,1.0
h4862,19297.8,0.263,0.196,1.0
h4863,18968.2,0.302,0.131,1.0
h4864,17856.6,0.137,0.177,1.0
h4865,18198.6,0.195,0.05,1.0
h4866,16186.6,0.349,0.007,1.0
h4867,16968.0,0.33,0.0,1.0
h4868,16125.5,0.44,0.008,1.0
h4869,15718.6,0.407,0.013,1.0
h4870,14778.4,0.281,0.0,1.0
h4871,17432.5,0.338,0.053,1.0
h4872,16033.0,0.274,0.002,1.0
h4873,14127.6,0.464,0.031,1.0
h4874,15683.9,0.391,0.024,1.0
h4875,15559.8,0.313,0.0,1.0
h4876,15923.9,0.315,0.0,1.0
h4877,16450.1,0.415,0.064,1.0
h4878,18702.1,0.345,0.0,1.0
h4879,18639.7,0.424,0.0,1.0
h4880,20729.0,0.123,0.058,1.0
h4881,21412.5,0.336,0.089,1.0
h4882,22230.5,0.257,0.122,1.0
h4883,20783.0,0.439,0.164,1.0
h4884,21979.1,0.422,0.242,1.0
h4885,22033.6,0.301,0.202,1.0
h4886,20880.1,0.421,0.159,1.0
h4887,20198.4,0.441,0.133,1.0
h4888,21518.1,0.304,0.212,1.0
h4889,19728.4,0.496,0.096,1.0
h4890,19322.1,0.295,0.066,1.0
h4891,17426.6,0.281,0.0,1.0
h4892,16436.5,0.367,0.01,1.0
h4893,16389.3,0.269,0.044,1.0
h4894,16325.5,0.304,0.0,1.0
h4895,15331.4,0.41,0.014,1.0
h4896,16130.1,0.299,0.0,1.0
h4897,14945.2,0.161,0.061,1.0
h4898,15752.4,0.326,0.008,1.0
h4899,17710.2,0.241,0.0,1.0
h4900,18320.7,0.366,0.0,1.0
h4901,18284.1,0.352,0.0,1.0
h4902,18589.4,0.414,0.0,1.0
h4903,19380.5,0.369,0.0,1.0
h4904,20642.8,0.384,0.05,1.0
h4905,22087.3,0.243,0.098,1.0
h4906,22794.3,0.361,0.16,1.0
h4907,21953.0,0.454,0.162,1.0
h4908,21525.1,0.241,0.175,1.0
h4909,22553.4,0.44,0.205,1.0
h4910,21373.5,0.252,0.149,1.0
h4911,21134.5,0.228,0.182,1.0
h4912,21983.2,0.319,0.089,1.0
h4913,20858.9,0.353,0.136,1.0
h4914,19547.9,0.368,0.073,1.0
h4915,17631.5,0.218,0.0,1.0
h4916,18101.5,0.33,0.02,1.0
h4917,18170.6,0.24,0.003,1.0
h4918,16554.1,0.176,0.0,1.0
h4919,17647.3,0.221,0.0,1.0
h4920,17509.0,0.235,0.009,1.0
h4921,17916.6,0.336,0.0,1.0
h4922,17134.6,0.387,0.033,1.0
h4923,17837.4,0.177,0.0,1.0
h4924,19114.7,0.323,0.0,1.0
h4925,19052.8,0.2,0.054,1.0
h4926,19051.3,0.345,0.017,1.0
h4927,19843.6,0.244,0.0,1.0
h4928,21083.6,0.21,0.038,1.0
h4929,20442.0,0.358,0.06,1.0
h4930,21791.4,0.247,0.12,1.0
h4931,23033.4,0.268,0.172,1.0
h4932,20452.9,0.116,0.207,1.0
h4933,23277.1,0.369,0.212,1.0
h4934,22593.4,0.359,0.229,1.0
h4935,20797.6,0.294,0.195,1.0
h4936,20927.8,0.171,0.161,1.0
h4937,19724.2,0.39,0.108,1.0
h4938,19885.0,0.24,0.091,1.0
h4939,18870.4,0.257,0.0,1.0
h4940,16204.1,0.478,0.0,1.0
h4941,17139.4,0.236,0.0,1.0
h4942,15997.6,0.352,0.032,1.0
h4943,15899.4,0.337,0.0,1.0
h4944,15119.4,0.324,0.088,1.0
h4945,17172.6,0.315,0.0,1.0
h4946,16873.4,0.322,0.003,1.0
h4947,15890.3,0.314,0.016,1.0
h4948,15995.3,0.288,0.0,1.0
h4949,17432.2,0.413,0.011,1.0
h4950,18813.3,0.187,0.001,1.0
h4951,19376.9,0.373,0.0,1.0
h4952,20847.9,0.357,0.088,1.0
h4953,21030.9,0.347,0.074,1.0
h4954,21579.5,0.381,0.152,1.0
h4955,21290.4,0.284,0.219,1.0
h4956,19943.6,0.142,0.175,1.0
h4957,20720.2,0.285,0.194,1.0
h4958,21350.5,0.212,0.266,1.0
h4959,19912.6,0.232,0.19,1.0
h4960,19667.0,0.191,0.128,1.0
h4961,18222.8,0.253,0.125,1.0
h4962,16819.9,0.243,0.035,1.0
h4963,16716.6,0.1,0.0,1.0
h4964,16292.5,0.346,0.041,1.0
h4965,14858.0,0.468,0.0,1.0
h4966,14680.1,0.339,0.074,1.0
h4967,13783.6,0.274,0.0,1.0
h4968,15296.6,0.286,0.064,1.0
h4969,14236.8,0.256,0.0,1.0
h4970,15902.8,0.297,0.031,1.0
h4971,16407.1,0.287,0.015,1.0
h4972,15704.7,0.222,0.025,1.0
h4973,15646.9,0.424,0.029,1.0
h4974,15518.0,0.17,0.0,1.0
h4975,16738.1,0.347,0.0,1.0
h4976,17489.1,0.281,0.051,1.0
h4977,20257.9,0.441,0.108,1.0
h4978,19667.9,0.316,0.129,1.0
h4979,20129.0,0.26,0.183,1.0
h4980,18085.7,0.269,0.205,1.0
h4981,18745.7,0.292,0.175,1.0
h4982,20061.3,0.197,0.207,1.0
h4983,19055.9,0.227,0.167,1.0
h4984,18044.6,0.146,0.122,1.0
h4985,17854.2,0.215,0.125,1.0
h4986,17905.0,0.296,0.029,1.0
h4987,15620.7,0.312,0.0,1.0
h4988,15114.1,0.13,0.002,1.0
h4989,14582.4,0.277,0.041,1.0
h4990,15861.9,0.333,0.006,1.0
h4991,12000.0,0.275,0.016,1.0
h4992,14098.7,0.237,0.0,1.0
h4993,13569.0,0.255,0.0,1.0
h4994,14421.1,0.244,0.0,1.0
h4995,13925.0,0.236,0.009,1.0
h4996,15037.8,0.301,0.0,1.0
h4997,16371.9,0.472,0.04,1.0
h4998,19068.8,0.228,0.0,1.0
h4999,17997.4,0.262,0.0,1.0
h5000,17389.1,0.283,0.134,1.0
h5001,18340.5,0.232,0.091,1.0
h5002,18782.6,0.375,0.182,1.0
h5003,17997.1,0.097,0.217,1.0
h5004,19261.1,0.244,0.223,1.0
h5005,20000.6,0.352,0.196,1.0
h5006,18090.2,0.263,0.203,1.0
h5007,19471.3,0.221,0.136,1.0
h5008,18406.8,0.321,0.202,1.0
h5009,16717.7,0.359,0.075,1.0
h5010,16434.5,0.303,0.044,1.0
h5011,17076.2,0.222,0.003,1.0
h5012,15694.1,0.322,0.0,1.0
h5013,14532.6,0.253,0.0,1.0
h5014,13903.8,0.345,0.042,1.0
h5015,13905.1,0.404,0.029,1.0
h5016,13384.7,0.077,0.01,1.0
h5017,12266.7,0.294,0.0,1.0
h5018,15938.3,0.146,0.032,1.0
h5019,14958.8,0.48,0.0,1.0
h5020,15825.4,0.248,0.047,1.0
h5021,16232.0,0.345,0.003,1.0
h5022,16510.9,0.282,0.037,1.0
h5023,17767.0,0.22,0.0,1.0
h5024,17396.3,0.211,0.054,1.0
h5025,21152.1,0.411,0.137,1.0
h5026,18850.3,0.361,0.208,1.0
h5027,19341.3,0.44,0.221,1.0
h5028,19945.9,0.289,0.22,1.0
h5029,21256.4,0.307,0.219,1.0
h5030,19970.3,0.263,0.179,1.0
h5031,18528.9,0.261,0.183,1.0
h5032,19940.5,0.2,0.115,1.0
h5033,18844.1,0.29,0.112,1.0
h5034,17965.1,0.22,0.065,1.0
h5035,17387.8,0.319,0.0,1.0
h5036,18070.1,0.297,0.001,1.0
h5037,17349.2,0.306,0.012,1.0
h5038,14646.8,0.417,0.0,1.0
h5039,16270.2,0.28,0.011,1.0
h5040,15251.4,0.344,0.0,1.0
h5041,15522.5,0.447,0.0,1.0
h5042,14143.8,0.387,0.031,1.0
h5043,15909.9,0.375,0.0,1.0
h5044,16085.2,0.258,0.01,1.0
h5045,18184.6,0.301,0.0,1.0
h5046,19213.2,0.177,0.001,1.0
h5047,17525.2,0.322,0.0,1.0
h5048,19937.2,0.304,0.077,1.0
h5049,21515.0,0.284,0.155,1.0
h5050,20982.0,0.364,0.11,1.0
h5051,22048.1,0.185,0.145,1.0
h5052,21879.8,0.413,0.207,1.0
h5053,21800.9,0.354,0.245,1.0
h5054,21042.3,0.276,0.194,1.0
h5055,19842.6,0.27,0.137,1.0
h5056,19333.3,0.32,0.136,1.0
h5057,20113.9,0.403,0.069,1.0
h5058,18828.9,0.289,0.032,1.0
h5059,17973.4,0.293,0.0,1.0
h5060,17072.8,0.283,0.0,1.0
h5061,16600.7,0.424,0.0,1.0
h5062,17262.3,0.251,0.002,1.0
h5063,15914.5,0.278,0.006,1.0
h5064,15065.1,0.398,0.0,1.0
h5065,16890.9,0.292,0.012,1.0
h5066,16484.5,0.372,0.0,1.0
h5067,17198.6,0.208,0.022,1.0
h5068,19123.7,0.264,0.023,1.0
h5069,18581.2,0.399,0.0,1.0
h5070,19634.9,0.226,0.018,1.0
h5071,19259.3,0.268,0.0,1.0
h5072,20765.7,0.301,0.092,1.0
h5073,22059.3,0.201,0.076,1.0
h5074,20807.4,0.247,0.152,1.0
h5075,22510.9,0.289,0.168,1.0
h5076,22528.5,0.283,0.163,1.0
h5077,22372.2,0.382,0.227,1.0
h5078,22862.1,0.403,0.175,1.0
h5079,21816.7,0.211,0.122,1.0
h5080,22105.5,0.288,0.055,1.0
h5081,19402.3,0.333,0.074,1.0
h5082,19530.3,0.4,0.093,1.0
h5083,18716.6,0.336,0.038,1.0
h5084,17077.0,0.302,0.0,1.0
h5085,18085.5,0.332,0.0,1.0
h5086,18714.4,0.333,0.0,1.0
h5087,16552.8,0.204,0.0,1.0
h5088,16878.9,0.294,0.0,1.0
h5089,16653.2,0.395,0.029,1.0
h5090,16319.5,0.262,0.015,1.0
h5091,15910.9,0.289,0.008,1.0
h5092,17418.8,0.259,0.0,1.0
h5093,17581.3,0.093,0.003,1.0
h5094,20815.6,0.28,0.0,1.0
h5095,20110.4,0.302,0.025,1.0
h5096,20616.0,0.237,0.06,1.0
h5097,22185.7,0.185,0.06,1.0
h5098,21008.6,0.207,0.19,1.0
h5099,21542.7,0.339,0.119,1.0
h5100,22260.4,0.435,0.209,1.0
h5101,22872.5,0.388,0.217,1.0
h5102,22096.8,0.17,0.156,1.0
h5103,21364.1,0.345,0.172,1.0
h5104,20555.6,0.224,0.092,1.0
h5105,20041.9,0.23,0.015,1.0
h5106,19062.3,0.24,0.02,1.0
h5107,17260.3,0.333,0.0,1.0
h5108,17361.0,0.353,0.019,1.0
h5109,15810.7,0.269,0.002,1.0
h5110,16227.0,0.27,0.003,1.0
h5111,15448.6,0.313,0.0,1.0
h5112,17733.4,0.322,0.0,1.0
h5113,15742.1,0.37,0.0,1.0
h5114,14917.9,0.173,0.0,1.0
h5115,16374.8,0.278,0.0,1.0
h5116,17478.5,0.19,0.002,1.0
h5117,19079.4,0.272,0.0,1.0
h5118,17994.1,0.258,0.0,1.0
h5119,17918.8,0.272,0.021,1.0
h5120,20498.9,0.211,0.037,1.0
h5121,19294.4,0.156,0.06,1.0
h5122,20454.9,0.108,0.158,1.0
h5123,20822.9,0.265,0.181,1.0
h5124,20999.4,0.241,0.203,1.0
h5125,21428.1,0.221,0.219,1.0
h5126,19955.5,0.381,0.207,1.0
h5127,19734.8,0.206,0.174,1.0
h5128,19253.1,0.388,0.213,1.0
h5129,18597.5,0.405,0.061,1.0
h5130,17722.0,0.118,0.034,1.0
h5131,17164.0,0.282,0.029,1.0
h5132,16720.3,0.242,0.004,1.0
h5133,15696.6,0.041,0.023,1.0
h5134,15231.5,0.159,0.005,1.0
h5135,13269.4,0.336,0.041,1.0
h5136,14441.3,0.436,0.0,1.0
h5137,14856.0,0.346,0.04,1.0
h5138,15323.8,0.3,0.035,1.0
h5139,14630.3,0.272,0.0,1.0
h5140,15242.3,0.408,0.019,1.0
h5141,15994.3,0.445,0.0,1.0
h5142,17615.8,0.226,0.0,1.0
h5143,18742.9,0.113,0.0,1.0
h5144,18262.2,0.105,0.021,1.0
h5145,19881.5,0.379,0.121,1.0
h5146,19674.0,0.269,0.166,1.0
h5147,19717.8,0.288,0.167,1.0
h5148,19692.9,0.13,0.218,1.0
h5149,20301.3,0.213,0.228,1.0
h5150,19612.1,0.249,0.198,1.0
h5151,20647.2,0.289,0.152,1.0
h5152,17480.6,0.241,0.155,1.0
h5153,17816.9,0.189,0.115,1.0
h5154,16173.0,0.21,0.072,1.0
h5155,15102.1,0.369,0.026,1.0
h5156,15049.9,0.292,0.0,1.0
h5157,14538.2,0.321,0.0,1.0
h5158,16282.8,0.2,0.0,1.0
h5159,13502.5,0.036,0.022,1.0
h5160,12648.0,0.23,0.0,1.0
h5161,13879.2,0.202,0.013,1.0
h5162,12307.9,0.3,0.0,1.0
h5163,14377.3,0.534,0.042,1.0
h5164,15089.8,0.327,0.0,1.0
h5165,16438.5,0.49,0.023,1.0
h5166,17357.4,0.317,0.004,1.0
h5167,16948.1,0.221,0.0,1.0
h5168,17947.1,0.299,0.044,1.0
h5169,18066.7,0.413,0.081,1.0
h5170,18242.9,0.417,0.18,1.0
h5171,19681.5,0.225,0.174,1.0
h5172,18506.3,0.291,0.155,1.0
h5173,19082.7,0.156,0.189,1.0
h5174,18313.5,0.336,0.197,1.0
h5175,19072.3,0.395,0.2,1.0
h5176,19457.8,0.273,0.123,1.0
h5177,16263.8,0.217,0.084,1.0
h5178,15065.3,0.299,0.053,1.0
h5179,15697.7,0.303,0.026,1.0
h5180,15119.8,0.276,0.0,1.0
h5181,14700.5,0.284,0.015,1.0
h5182,13736.9,0.256,0.0,1.0
h5183,13683.3,0.349,0.0,1.0
h5184,14088.1,0.328,0.06,1.0
h5185,14782.8,0.191,0.0,1.0
h5186,12740.5,0.189,0.023,1.0
h5187,14539.4,0.249,0.022,1.0
h5188,15677.9,0.328,0.0,1.0
h5189,15543.9,0.281,0.0,1.0
h5190,18483.9,0.218,0.025,1.0
h5191,17407.4,0.29,0.0,1.0
h5192,18642.8,0.242,0.002,1.0
h5193,19775.2,0.339,0.131,1.0
h5194,19364.8,0.295,0.111,1.0
h5195,18689.6,0.243,0.15,1.0
h5196,19955.2,0.287,0.253,1.0
h5197,21049.5,0.374,0.151,1.0
h5198,19689.1,0.223,0.156,1.0
h5199,18840.7,0.3,0.16,1.0
h5200,19677.6,0.263,0.135,1.0
h5201,17994.7,0.302,0.073,1.0
h5202,17126.2,0.216,0.017,1.0
h5203,16934.8,0.277,0.045,1.0
h5204,16771.2,0.356,0.008,1.0
h5205,17506.4,0.193,0.018,1.0
h5206,15857.9,0.161,0.0,1.0
h5207,15898.9,0.164,0.009,1.0
h5208,14540.1,0.174,0.028,1.0
h5209,14302.5,0.315,0.0,1.0
h5210,15547.5,0.155,0.008,1.0
h5211,16132.0,0.243,0.021,1.0
h5212,15872.7,0.317,0.046,1.0
h5213,17381.9,0.3,0.058,1.0
h5214,18675.7,0.236,0.002,1.0
h5215,19473.1,0.282,0.034,1.0
h5216,20358.2,0.275,0.0,1.0
h5217,20850.3,0.249,0.147,1.0
h5218,20725.7,0.25,0.12,1.0
h5219,21053.7,0.445,0.167,1.0
h5220,20639.7,0.331,0.207,1.0
h5221,22955.4,0.465,0.196,1.0
h5222,21270.2,0.226,0.2,1.0
h5223,20636.0,0.259,0.222,1.0
h5224,19487.5,0.159,0.131,1.0
h5225,21894.9,0.201,0.068,1.0
h5226,17954.6,0.418,0.106,1.0
h5227,17741.2,0.224,0.016,1.0
h5228,17744.5,0.419,0.058,1.0
h5229,17325.1,0.166,0.026,1.0
h5230,17191.1,0.181,0.0,1.0
h5231,17628.8,0.238,0.019,1.0
h5232,16542.9,0.26,0.0,1.0
h5233,15451.1,0.339,0.0,1.0
h5234,16442.8,0.301,0.0,1.0
h5235,17419.8,0.232,0.0,1.0
h5236,19492.2,0.254,0.0,1.0
h5237,17479.4,0.239,0.066,1.0
h5238,20365.7,0.192,0.007,1.0
h5239,20346.4,0.194,0.0,1.0
h5240,21611.7,0.347,0.107,1.0
h5241,21490.1,0.118,0.089,1.0
h5242,21377.8,0.394,0.14,1.0
h5243,22950.9,0.237,0.204,1.0
h5244,22971.4,0.202,0.183,1.0
h5245,23116.8,0.323,0.179,1.0
h5246,22021.7,0.383,0.127,1.0
h5247,21069.3,0.353,0.146,1.0
h5248,19676.0,0.304,0.114,1.0
h5249,20852.7,0.351,0.106,1.0
h5250,19760.6,0.126,0.034,1.0
h5251,17876.4,0.222,0.065,1.0
h5252,17501.5,0.191,0.0,1.0
h5253,16947.0,0.361,0.042,1.0
h5254,15668.3,0.233,0.007,1.0
h5255,15912.2,0.331,0.024,1.0
h5256,15567.8,0.306,0.022,1.0
h5257,16255.6,0.194,0.0,1.0
h5258,16299.4,0.216,0.0,1.0
h5259,16065.9,0.366,0.0,1.0
h5260,19601.4,0.201,0.0,1.0
h5261,19696.9,0.273,0.014,1.0
h5262,18829.1,0.2,0.051,1.0
h5263,20420.4,0.237,0.0,1.0
h5264,21226.7,0.259,0.036,1.0
h5265,22427.3,0.2,0.064,1.0
h5266,21251.1,0.185,0.145,1.0
h5267,23029.9,0.285,0.165,1.0
h5268,21767.6,0.195,0.177,1.0
h5269,20980.8,0.197,0.223,1.0
h5270,22274.8,0.187,0.244,1.0
h5271,22198.0,0.256,0.255,1.0
h5272,22563.4,0.337,0.121,1.0
h5273,18761.9,0.382,0.046,1.0
h5274,19460.1,0.204,0.069,1.0
h5275,17756.4,0.434,0.048,1.0
h5276,17950.9,0.181,0.024,1.0
h5277,15493.2,0.348,0.048,1.0
h5278,15151.9,0.204,0.0,1.0
h5279,15212.4,0.191,0.0,1.0
h5280,15765.1,0.202,0.003,1.0
h5281,15261.2,0.257,0.0,1.0
h5282,16568.6,0.307,0.02,1.0
h5283,17303.7,0.314,0.029,1.0
h5284,17542.6,0.185,0.031,1.0
h5285,19035.8,0.181,0.015,1.0
h5286,18798.3,0.187,0.007,1.0
h5287,18211.3,0.252,0.024,1.0
h5288,20936.1,0.244,0.0,1.0
h5289,19914.8,0.184,0.108,1.0
h5290,21532.2,0.282,0.145,1.0
h5291,22287.9,0.441,0.182,1.0
h5292,21420.4,0.22,0.193,1.0
h5293,19679.8,0.225,0.216,1.0
h5294,19767.8,0.305,0.179,1.0
h5295,21012.0,0.215,0.21,1.0
h5296,19129.2,0.313,0.158,1.0
h5297,18541.5,0.202,0.106,1.0
h5298,18250.8,0.406,0.032,1.0
h5299,17372.3,0.287,0.024,1.0
h5300,16268.3,0.21,0.006,1.0
h5301,15215.6,0.212,0.0,1.0
h5302,14618.5,0.218,0.0,1.0
h5303,15221.5,0.369,0.019,1.0
h5304,14844.0,0.158,0.017,1.0
h5305,14266.6,0.206,0.015,1.0
h5306,15606.3,0.214,0.003,1.0
h5307,15080.9,0.258,0.031,1.0
h5308,15088.2,0.237,0.037,1.0
h5309,15846.4,0.139,0.022,1.0
h5310,16403.7,0.227,0.0,1.0
h5311,17697.8,0.25,0.0,1.0
h5312,19575.1,0.208,0.036,1.0
h5313,18511.0,0.313,0.16,1.0
h5314,19726.0,0.332,0.152,1.0
h5315,19291.9,0.252,0.24,1.0
h5316,19653.8,0.276,0.193,1.0
h5317,18496.0,0.085,0.196,1.0
h5318,19175.2,0.224,0.195,1.0
h5319,18671.5,0.338,0.174,1.0
h5320,18594.6,0.224,0.121,1.0
h5321,17581.0,0.199,0.067,1.0
h5322,15637.7,0.44,0.068,1.0
h5323,16664.9,0.403,0.032,1.0
h5324,15226.8,0.295,0.073,1.0
h5325,14587.0,0.348,0.0,1.0
h5326,13940.9,0.079,0.0,1.0
h5327,13235.6,0.194,0.0,1.0
h5328,13726.4,0.219,0.034,1.0
h5329,14041.3,0.238,0.024,1.0
h5330,12570.1,0.218,0.0,1.0
h5331,14019.9,0.053,0.0,1.0
h5332,14873.0,0.288,0.029,1.0
h5333,16007.7,0.3,0.011,1.0
h5334,17533.1,0.385,0.023,1.0
h5335,16733.6,0.193,0.0,1.0
h5336,17669.2,0.187,0.0,1.0
h5337,18269.5,0.042,0.076,1.0
h5338,18504.1,0.233,0.165,1.0
h5339,19155.9,0.328,0.241,1.0
h5340,20141.8,0.207,0.185,1.0
h5341,18571.3,0.427,0.273,1.0
h5342,19451.9,0.235,0.223,1.0
h5343,17271.0,0.267,0.136,1.0
h5344,17567.6,0.147,0.151,1.0
h5345,17041.5,0.279,0.128,1.0
h5346,17887.6,0.097,0.0,1.0
h5347,15577.7,0.311,0.019,1.0
h5348,13346.3,0.313,0.035,1.0
h5349,12926.5,0.364,0.012,1.0
h5350,14121.2,0.174,0.0,1.0
h5351,14334.8,0.268,0.0,1.0
h5352,14094.5,0.3,0.0,1.0
h5353,14084.5,0.29,0.0,1.0
h5354,15234.4,0.186,0.0,1.0
h5355,14402.9,0.063,0.0,1.0
h5356,16222.8,0.282,0.003,1.0
h5357,14972.7,0.242,0.0,1.0
h5358,16375.0,0.209,0.0,1.0
h5359,16470.1,0.316,0.023,1.0
h5360,18455.9,0.251,0.064,1.0
h5361,19293.4,0.149,0.087,1.0
h5362,19929.2,0.1,0.161,1.0
h5363,20216.4,0.164,0.165,1.0
h5364,19556.1,0.445,0.201,1.0
h5365,20073.8,0.312,0.235,1.0
h5366,18760.7,0.269,0.181,1.0
h5367,20608.4,0.239,0.143,1.0
h5368,18694.1,0.234,0.141,1.0
h5369,17868.2,0.347,0.062,1.0
h5370,18805.5,0.214,0.045,1.0
h5371,15821.4,0.3,0.0,1.0
h5372,15254.1,0.225,0.0,1.0
h5373,14724.1,0.408,0.016,1.0
h5374,15141.8,0.313,0.0,1.0
h5375,15316.4,0.353,0.035,1.0
h5376,15536.7,0.206,0.006,1.0
h5377,17180.8,0.338,0.022,1.0
h5378,13698.0,0.228,0.036,1.0
h5379,16533.2,0.262,0.0,1.0
h5380,16289.8,0.383,0.0,1.0
h5381,17053.0,0.169,0.0,1.0
h5382,17860.5,0.269,0.037,1.0
h5383,18457.8,0.287,0.0,1.0
h5384,21302.4,0.294,0.023,1.0
h5385,21291.3,0.216,0.126,1.0
h5386,21149.9,0.419,0.081,1.0
h5387,22545.7,0.149,0.166,1.0
h5388,20388.8,0.369,0.227,1.0
h5389,20463.0,0.349,0.194,1.0
h5390,19517.0,0.404,0.179,1.0
h5391,20256.3,0.125,0.167,1.0
h5392,20359.9,0.182,0.086,1.0
h5393,19628.7,0.371,0.125,1.0
h5394,18932.8,0.101,0.05,1.0
h5395,16955.4,0.123,0.0,1.0
h5396,18054.4,0.212,0.0,1.0
h5397,17036.6,0.267,0.0,1.0
h5398,17011.2,0.379,0.02,1.0
h5399,14668.5,0.236,0.0,1.0
h5400,16387.1,0.202,0.0,1.0
h5401,15345.8,0.276,0.017,1.0
h5402,16330.5,0.288,0.015,1.0
h5403,17601.0,0.286,0.006,1.0
h5404,17910.5,0.236,0.032,1.0
h5405,17916.4,0.094,0.001,1.0
h5406,19408.6,0.177,0.033,1.0
h5407,18977.2,0.364,0.042,1.0
h5408,21861.6,0.265,0.071,1.0
h5409,21407.4,0.225,0.082,1.0
h5410,22946.6,0.34,0.143,1.0
h5411,21929.0,0.16,0.218,1.0
h5412,22029.0,0.232,0.156,1.0
h5413,21727.8,0.261,0.197,1.0
h5414,22733.3,0.215,0.191,1.0
h5415,20981.6,0.258,0.155,1.0
h5416,21438.7,0.235,0.174,1.0
h5417,19891.3,0.138,0.116,1.0
h5418,17840.8,0.264,0.033,1.0
h5419,18192.8,0.143,0.018,1.0
h5420,16989.1,0.263,0.0,1.0
h5421,17347.6,0.359,0.0,1.0
h5422,15902.3,0.227,0.0,1.0
h5423,17307.2,0.155,0.013,1.0
h5424,16402.0,0.239,0.028,1.0
h5425,16443.5,0.182,0.0,1.0
h5426,17415.1,0.297,0.016,1.0
h5427,18138.6,0.237,0.047,1.0
h5428,17967.3,0.386,0.0,1.0
h5429,18077.9,0.342,0.011,1.0
h5430,18033.1,0.236,0.025,1.0
h5431,19653.6,0.306,0.0,1.0
h5432,20399.0,0.217,0.091,1.0
h5433,21560.0,0.251,0.171,1.0
h5434,21629.9,0.219,0.159,1.0
h5435,22706.6,0.31,0.175,1.0
h5436,21715.5,0.363,0.232,1.0
h5437,22003.9,0.312,0.235,1.0
h5438,22642.6,0.322,0.127,1.0
h5439,21438.9,0.322,0.182,1.0
h5440,20445.1,0.292,0.137,1.0
h5441,19240.1,0.157,0.117,1.0
h5442,18394.4,0.384,0.049,1.0
h5443,17403.8,0.392,0.0,1.0
h5444,16891.4,0.229,0.0,1.0
h5445,17274.2,0.218,0.022,1.0
h5446,15984.6,0.296,0.05,1.0
h5447,14753.3,0.291,0.0,1.0
h5448,17116.4,0.231,0.0,1.0
h5449,16030.0,0.147,0.001,1.0
h5450,14915.8,0.272,0.0,1.0
h5451,16128.7,0.291,0.035,1.0
h5452,17151.7,0.305,0.0,1.0
h5453,19104.4,0.275,0.0,1.0
h5454,17579.2,0.225,0.0,1.0
h5455,19965.6,0.326,0.041,1.0
h5456,20965.0,0.252,0.062,1.0
h5457,19896.0,0.209,0.092,1.0
h5458,20581.9,0.232,0.11,1.0
h5459,20199.9,0.107,0.146,1.0
h5460,20892.3,0.232,0.217,1.0
h5461,20847.5,0.301,0.178,1.0
h5462,21030.1,0.273,0.207,1.0
h5463,20825.9,0.368,0.245,1.0
h5464,18666.0,0.225,0.139,1.0
h5465,16904.0,0.285,0.077,1.0
h5466,17626.7,0.309,0.066,1.0
h5467,17050.1,0.433,0.0,1.0
h5468,16244.8,0.257,0.052,1.0
h5469,15121.2,0.162,0.042,1.0
h5470,14968.5,0.313,0.0,1.0
h5471,15747.5,0.395,0.0,1.0
h5472,14706.5,0.22,0.0,1.0
h5473,14173.7,0.313,0.0,1.0
h5474,14340.4,0.344,0.012,1.0
h5475,15048.3,0.327,0.031,1.0
h5476,17078.9,0.255,0.0,1.0
h5477,16307.0,0.189,0.03,1.0
h5478,17170.9,0.238,0.019,1.0
h5479,17529.9,0.282,0.0,1.0
h5480,19467.3,0.317,0.022,1.0
h5481,20723.0,0.271,0.11,1.0
h5482,19935.8,0.214,0.119,1.0
h5483,19883.5,0.289,0.215,1.0
h5484,19891.5,0.313,0.172,1.0
h5485,17796.6,0.275,0.23,1.0
