'demand' 'cf_wind' 'cf_solar' 'cf_gas' 'co2_gas'
h4052 16902.6 0.395 0.000 1.0 0.400
h4053 17431.4 0.533 0.000 1.0 0.400
h4054 15234.8 0.370 0.001 1.0 0.400
h4055 16928.6 0.379 0.049 1.0 0.400
h4056 16876.3 0.369 0.000 1.0 0.400
h4057 15555.8 0.480 0.016 1.0 0.400
h4058 15926.1 0.223 0.018 1.0 0.400
h4059 17267.8 0.400 0.086 1.0 0.400
h4060 16859.8 0.239 0.005 1.0 0.400
h4061 17550.0 0.356 0.000 1.0 0.400
h4062 19626.8 0.417 0.004 1.0 0.400
h4063 19900.9 0.292 0.032 1.0 0.400
h4064 20119.1 0.399 0.063 1.0 0.400
h4065 21577.2 0.333 0.124 1.0 0.400
h4066 21782.3 0.381 0.199 1.0 0.400
h4067 20961.0 0.429 0.221 1.0 0.400
h4068 22659.9 0.373 0.265 1.0 0.400
h4069 22371.8 0.275 0.292 1.0 0.400
h4070 21728.1 0.394 0.305 1.0 0.400
h4071 21902.3 0.361 0.231 1.0 0.400
h4072 20839.2 0.358 0.194 1.0 0.400
h4073 19476.2 0.335 0.182 1.0 0.400
h4074 21082.6 0.366 0.071 1.0 0.400
h4075 17237.1 0.376 0.032 1.0 0.400
h4076 18272.9 0.565 0.000 1.0 0.400
h4077 17298.3 0.341 0.020 1.0 0.400
h4078 17437.1 0.313 0.000 1.0 0.400
h4079 16882.3 0.277 0.000 1.0 0.400
h4080 18450.2 0.455 0.000 1.0 0.400
h4081 16542.2 0.368 0.000 1.0 0.400
h4082 17402.6 0.416 0.042 1.0 0.400
h4083 17954.7 0.328 0.000 1.0 0.400
h4084 18563.7 0.454 0.059 1.0 0.400
h4085 17463.1 0.400 0.009 1.0 0.400
h4086 20329.8 0.314 0.047 1.0 0.400
h4087 21022.5 0.363 0.023 1.0 0.400
h4088 20355.2 0.295 0.040 1.0 0.400
h4089 21092.3 0.427 0.142 1.0 0.400
h4090 22578.7 0.356 0.242 1.0 0.400
h4091 20446.9 0.344 0.265 1.0 0.400
h4092 23159.8 0.421 0.296 1.0 0.400
h4093 21605.8 0.284 0.280 1.0 0.400
h4094 22537.7 0.338 0.318 1.0 0.400
h4095 20636.0 0.333 0.326 1.0 0.400
h4096 20881.2 0.310 0.272 1.0 0.400
h4097 19106.8 0.352 0.187 1.0 0.400
h4098 18915.3 0.323 0.072 1.0 0.400
h4099 16580.5 0.303 0.000 1.0 0.400
h4100 16713.8 0.539 0.000 1.0 0.400
h4101 16249.4 0.386 0.000 1.0 0.400
h4102 16400.7 0.264 0.031 1.0 0.400
h4103 13871.1 0.285 0.081 1.0 0.400
h4104 16062.9 0.408 0.014 1.0 0.400
h4105 16040.2 0.422 0.000 1.0 0.400
h4106 16682.5 0.469 0.018 1.0 0.400
h4107 15463.0 0.300 0.000 1.0 0.400
h4108 16151.8 0.367 0.011 1.0 0.400
h4109 17555.5 0.458 0.000 1.0 0.400
h4110 19105.7 0.295 0.000 1.0 0.400
h4111 20123.3 0.332 0.032 1.0 0.400
h4112 19887.5 0.386 0.099 1.0 0.400
h4113 20444.9 0.236 0.158 1.0 0.400
h4114 20105.1 0.398 0.224 1.0 0.400
h4115 20694.4 0.252 0.245 1.0 0.400
h4116 22123.1 0.410 0.306 1.0 0.400
h4117 20112.9 0.443 0.343 1.0 0.400
h4118 20165.6 0.297 0.261 1.0 0.400
h4119 18768.4 0.388 0.291 1.0 0.400
h4120 21057.6 0.424 0.180 1.0 0.400
h4121 18042.5 0.500 0.119 1.0 0.400
h4122 16456.6 0.476 0.030 1.0 0.400
h4123 17036.4 0.423 0.000 1.0 0.400
h4124 14169.3 0.317 0.007 1.0 0.400
h4125 15755.3 0.422 0.032 1.0 0.400
h4126 14485.1 0.397 0.000 1.0 0.400
h4127 14169.5 0.302 0.054 1.0 0.400
h4128 15600.9 0.360 0.003 1.0 0.400
h4129 14391.8 0.373 0.000 1.0 0.400
h4130 14639.4 0.425 0.000 1.0 0.400
h4131 16596.2 0.443 0.048 1.0 0.400
h4132 17321.9 0.312 0.026 1.0 0.400
h4133 15148.3 0.369 0.031 1.0 0.400
h4134 15570.5 0.413 0.002 1.0 0.400
h4135 19093.6 0.391 0.022 1.0 0.400
h4136 19759.9 0.314 0.110 1.0 0.400
h4137 18521.9 0.313 0.180 1.0 0.400
h4138 20143.9 0.353 0.234 1.0 0.400
h4139 20086.8 0.446 0.274 1.0 0.400
h4140 20743.8 0.591 0.250 1.0 0.400
h4141 19259.9 0.445 0.313 1.0 0.400
h4142 21186.1 0.405 0.219 1.0 0.400
h4143 17737.3 0.298 0.275 1.0 0.400
h4144 17294.9 0.455 0.257 1.0 0.400
h4145 17642.5 0.283 0.181 1.0 0.400
h4146 17768.2 0.370 0.158 1.0 0.400
h4147 15639.6 0.166 0.000 1.0 0.400
h4148 14508.9 0.422 0.077 1.0 0.400
h4149 13656.9 0.377 0.013 1.0 0.400
h4150 14770.9 0.381 0.000 1.0 0.400
h4151 14103.4 0.298 0.000 1.0 0.400
h4152 12633.8 0.466 0.000 1.0 0.400
h4153 13986.1 0.565 0.000 1.0 0.400
h4154 14122.7 0.499 0.000 1.0 0.400
h4155 13977.3 0.415 0.011 1.0 0.400
h4156 14678.8 0.576 0.000 1.0 0.400
h4157 15497.4 0.467 0.000 1.0 0.400
h4158 17333.2 0.352 0.036 1.0 0.400
h4159 16470.9 0.247 0.001 1.0 0.400
h4160 18082.0 0.416 0.109 1.0 0.400
h4161 19451.1 0.231 0.129 1.0 0.400
h4162 18508.9 0.361 0.164 1.0 0.400
h4163 20014.9 0.388 0.256 1.0 0.400
h4164 19288.1 0.469 0.348 1.0 0.400
h4165 19488.6 0.252 0.266 1.0 0.400
h4166 18434.2 0.377 0.233 1.0 0.400
h4167 18962.8 0.452 0.256 1.0 0.400
h4168 20165.1 0.336 0.180 1.0 0.400
h4169 17910.7 0.363 0.188 1.0 0.400
h4170 16996.4 0.280 0.049 1.0 0.400
h4171 15509.1 0.339 0.000 1.0 0.400
h4172 13895.4 0.431 0.054 1.0 0.400
h4173 13636.2 0.420 0.000 1.0 0.400
h4174 13761.3 0.240 0.000 1.0 0.400
h4175 14363.2 0.337 0.000 1.0 0.400
h4176 15093.9 0.366 0.000 1.0 0.400
h4177 13949.1 0.429 0.000 1.0 0.400
h4178 13406.0 0.354 0.008 1.0 0.400
h4179 14460.0 0.398 0.046 1.0 0.400
h4180 16875.7 0.355 0.031 1.0 0.400
h4181 17140.3 0.412 0.051 1.0 0.400
h4182 17679.2 0.485 0.000 1.0 0.400
h4183 18574.2 0.433 0.032 1.0 0.400
h4184 18794.6 0.445 0.084 1.0 0.400
h4185 19005.2 0.334 0.143 1.0 0.400
h4186 18973.1 0.477 0.240 1.0 0.400
h4187 19964.6 0.438 0.260 1.0 0.400
h4188 20072.5 0.308 0.278 1.0 0.400
h4189 20224.3 0.489 0.311 1.0 0.400
h4190 19622.6 0.297 0.240 1.0 0.400
h4191 19089.6 0.434 0.228 1.0 0.400
h4192 19293.5 0.317 0.219 1.0 0.400
h4193 18107.6 0.548 0.196 1.0 0.400
h4194 16794.7 0.345 0.073 1.0 0.400
h4195 16382.8 0.469 0.005 1.0 0.400
h4196 15841.9 0.362 0.002 1.0 0.400
h4197 16076.6 0.202 0.000 1.0 0.400
h4198 14310.4 0.273 0.024 1.0 0.400
h4199 14152.2 0.382 0.011 1.0 0.400
h4200 14255.6 0.438 0.018 1.0 0.400
h4201 14115.3 0.557 0.006 1.0 0.400
h4202 14947.7 0.463 0.031 1.0 0.400
h4203 16091.9 0.462 0.000 1.0 0.400
h4204 16913.0 0.322 0.001 1.0 0.400
h4205 17573.1 0.481 0.015 1.0 0.400
h4206 17330.9 0.500 0.043 1.0 0.400
h4207 18610.9 0.342 0.057 1.0 0.400
h4208 20155.0 0.227 0.133 1.0 0.400
h4209 20343.0 0.491 0.149 1.0 0.400
h4210 21830.2 0.324 0.196 1.0 0.400
h4211 20324.0 0.443 0.265 1.0 0.400
h4212 21732.8 0.257 0.233 1.0 0.400
h4213 20201.5 0.387 0.340 1.0 0.400
h4214 21252.6 0.382 0.288 1.0 0.400
h4215 20604.9 0.397 0.191 1.0 0.400
h4216 20421.9 0.396 0.174 1.0 0.400
h4217 19771.0 0.371 0.168 1.0 0.400
h4218 17752.3 0.342 0.065 1.0 0.400
h4219 17417.3 0.317 0.000 1.0 0.400
h4220 16356.7 0.361 0.028 1.0 0.400
h4221 17640.2 0.407 0.010 1.0 0.400
h4222 15091.4 0.253 0.038 1.0 0.400
h4223 16622.4 0.429 0.026 1.0 0.400
h4224 15711.9 0.285 0.000 1.0 0.400
h4225 15626.9 0.344 0.000 1.0 0.400
h4226 16577.5 0.282 0.013 1.0 0.400
h4227 16740.1 0.302 0.000 1.0 0.400
h4228 17961.6 0.524 0.000 1.0 0.400
h4229 18078.0 0.532 0.000 1.0 0.400
h4230 18893.2 0.340 0.000 1.0 0.400
h4231 19725.7 0.495 0.000 1.0 0.400
h4232 21446.3 0.305 0.090 1.0 0.400
h4233 21154.3 0.419 0.137 1.0 0.400
h4234 22118.9 0.415 0.207 1.0 0.400
h4235 21478.9 0.295 0.245 1.0 0.400
h4236 22027.8 0.410 0.252 1.0 0.400
h4237 22720.3 0.320 0.279 1.0 0.400
h4238 21386.6 0.436 0.254 1.0 0.400
h4239 22285.7 0.238 0.224 1.0 0.400
h4240 19978.4 0.191 0.172 1.0 0.400
h4241 19568.3 0.395 0.076 1.0 0.400
h4242 20161.4 0.302 0.116 1.0 0.400
h4243 19229.3 0.329 0.000 1.0 0.400
h4244 17305.3 0.454 0.000 1.0 0.400
h4245 18058.1 0.513 0.015 1.0 0.400
h4246 16580.9 0.346 0.023 1.0 0.400
h4247 16437.0 0.350 0.038 1.0 0.400
h4248 15431.9 0.449 0.015 1.0 0.400
h4249 16217.1 0.312 0.042 1.0 0.400
h4250 17778.0 0.353 0.000 1.0 0.400
h4251 16986.5 0.405 0.000 1.0 0.400
h4252 17195.8 0.319 0.000 1.0 0.400
h4253 19512.9 0.394 0.005 1.0 0.400
h4254 18310.2 0.442 0.022 1.0 0.400
h4255 20514.6 0.427 0.000 1.0 0.400
h4256 21128.4 0.442 0.073 1.0 0.400
h4257 20281.8 0.280 0.173 1.0 0.400
h4258 23896.0 0.282 0.225 1.0 0.400
h4259 21140.0 0.341 0.247 1.0 0.400
h4260 22962.2 0.389 0.223 1.0 0.400
h4261 23604.9 0.545 0.317 1.0 0.400
h4262 22223.9 0.288 0.298 1.0 0.400
h4263 21361.1 0.361 0.227 1.0 0.400
h4264 21450.7 0.381 0.186 1.0 0.400
h4265 20409.5 0.266 0.077 1.0 0.400
h4266 18004.4 0.287 0.052 1.0 0.400
h4267 17788.9 0.392 0.000 1.0 0.400
h4268 16185.1 0.371 0.003 1.0 0.400
h4269 16750.3 0.314 0.008 1.0 0.400
h4270 14746.7 0.484 0.000 1.0 0.400
h4271 16058.3 0.414 0.000 1.0 0.400
h4272 16561.5 0.416 0.000 1.0 0.400
h4273 14774.1 0.338 0.051 1.0 0.400
h4274 15935.5 0.456 0.000 1.0 0.400
h4275 16243.9 0.336 0.000 1.0 0.400
h4276 16677.7 0.289 0.017 1.0 0.400
h4277 18235.4 0.349 0.027 1.0 0.400
h4278 17503.2 0.369 0.031 1.0 0.400
h4279 19966.3 0.400 0.009 1.0 0.400
h4280 20405.1 0.296 0.025 1.0 0.400
h4281 20294.8 0.334 0.139 1.0 0.400
h4282 20860.7 0.323 0.170 1.0 0.400
h4283 20758.1 0.377 0.231 1.0 0.400
h4284 22956.4 0.441 0.277 1.0 0.400
h4285 21294.8 0.276 0.285 1.0 0.400
h4286 19709.3 0.387 0.213 1.0 0.400
h4287 20795.0 0.179 0.248 1.0 0.400
h4288 18570.0 0.364 0.207 1.0 0.400
h4289 19683.1 0.471 0.111 1.0 0.400
h4290 18240.5 0.414 0.067 1.0 0.400
h4291 16012.0 0.339 0.000 1.0 0.400
h4292 15858.3 0.378 0.015 1.0 0.400
h4293 15680.5 0.278 0.002 1.0 0.400
h4294 16228.2 0.444 0.000 1.0 0.400
h4295 14875.3 0.444 0.000 1.0 0.400
h4296 13273.6 0.336 0.017 1.0 0.400
h4297 13632.7 0.291 0.038 1.0 0.400
h4298 14765.9 0.310 0.000 1.0 0.400
h4299 15363.5 0.397 0.002 1.0 0.400
h4300 16095.3 0.347 0.032 1.0 0.400
h4301 16569.0 0.372 0.042 1.0 0.400
h4302 17052.5 0.327 0.000 1.0 0.400
h4303 18376.1 0.426 0.027 1.0 0.400
h4304 17991.4 0.345 0.043 1.0 0.400
h4305 19049.6 0.429 0.154 1.0 0.400
h4306 18965.8 0.404 0.199 1.0 0.400
h4307 20390.2 0.381 0.276 1.0 0.400
h4308 20577.3 0.260 0.253 1.0 0.400
h4309 20872.8 0.326 0.249 1.0 0.400
h4310 19012.2 0.425 0.227 1.0 0.400
h4311 18511.6 0.437 0.223 1.0 0.400
h4312 19063.5 0.361 0.237 1.0 0.400
h4313 16928.6 0.383 0.092 1.0 0.400
h4314 16662.7 0.533 0.047 1.0 0.400
h4315 15794.0 0.282 0.000 1.0 0.400
h4316 16427.5 0.224 0.065 1.0 0.400
h4317 14088.6 0.228 0.021 1.0 0.400
h4318 13468.4 0.280 0.011 1.0 0.400
h4319 15778.2 0.314 0.020 1.0 0.400
h4320 12439.2 0.372 0.022 1.0 0.400
h4321 12373.3 0.353 0.054 1.0 0.400
h4322 14179.0 0.399 0.000 1.0 0.400
h4323 14714.0 0.450 0.000 1.0 0.400
h4324 15138.4 0.469 0.000 1.0 0.400
h4325 14977.5 0.402 0.020 1.0 0.400
h4326 17465.5 0.397 0.000 1.0 0.400
h4327 17358.6 0.334 0.005 1.0 0.400
h4328 17835.0 0.478 0.070 1.0 0.400
h4329 19452.0 0.343 0.137 1.0 0.400
h4330 19192.8 0.340 0.192 1.0 0.400
h4331 19884.3 0.419 0.214 1.0 0.400
h4332 18715.1 0.393 0.240 1.0 0.400
h4333 19411.1 0.391 0.245 1.0 0.400
h4334 17831.7 0.365 0.315 1.0 0.400
h4335 17992.1 0.437 0.236 1.0 0.400
h4336 17195.6 0.360 0.185 1.0 0.400
h4337 17209.4 0.350 0.083 1.0 0.400
h4338 17508.3 0.329 0.056 1.0 0.400
h4339 16048.1 0.321 0.000 1.0 0.400
h4340 15250.9 0.287 0.004 1.0 0.400
h4341 14772.0 0.388 0.010 1.0 0.400
h4342 14802.8 0.464 0.015 1.0 0.400
h4343 14492.5 0.187 0.011 1.0 0.400
h4344 12817.9 0.276 0.008 1.0 0.400
h4345 13929.5 0.133 0.012 1.0 0.400
h4346 14312.5 0.369 0.000 1.0 0.400
h4347 12905.2 0.266 0.059 1.0 0.400
h4348 15926.2 0.472 0.023 1.0 0.400
h4349 16976.2 0.326 0.000 1.0 0.400
h4350 16035.0 0.345 0.002 1.0 0.400
h4351 17674.2 0.268 0.000 1.0 0.400
h4352 19224.8 0.361 0.020 1.0 0.400
h4353 18950.9 0.337 0.125 1.0 0.400
h4354 21290.5 0.347 0.181 1.0 0.400
h4355 19022.2 0.589 0.210 1.0 0.400
h4356 20651.1 0.395 0.218 1.0 0.400
h4357 20768.7 0.336 0.298 1.0 0.400
h4358 19464.1 0.338 0.232 1.0 0.400
h4359 20085.6 0.321 0.296 1.0 0.400
h4360 19175.8 0.379 0.204 1.0 0.400
h4361 18919.6 0.366 0.177 1.0 0.400
h4362 17338.2 0.329 0.047 1.0 0.400
h4363 18313.5 0.408 0.000 1.0 0.400
h4364 16211.0 0.398 0.000 1.0 0.400
h4365 17258.2 0.468 0.043 1.0 0.400
h4366 15895.8 0.283 0.016 1.0 0.400
h4367 15212.4 0.407 0.000 1.0 0.400
h4368 14664.8 0.317 0.005 1.0 0.400
h4369 14964.6 0.358 0.000 1.0 0.400
h4370 14313.5 0.439 0.024 1.0 0.400
h4371 15902.8 0.293 0.017 1.0 0.400
h4372 16083.1 0.270 0.040 1.0 0.400
h4373 16410.8 0.418 0.018 1.0 0.400
h4374 19166.9 0.371 0.016 1.0 0.400
h4375 19607.7 0.339 0.000 1.0 0.400
h4376 20444.4 0.308 0.062 1.0 0.400
h4377 20352.0 0.308 0.146 1.0 0.400
h4378 20702.9 0.337 0.186 1.0 0.400
h4379 19927.1 0.316 0.237 1.0 0.400
h4380 20646.6 0.240 0.245 1.0 0.400
h4381 19628.6 0.314 0.280 1.0 0.400
h4382 20965.0 0.327 0.270 1.0 0.400
h4383 21843.4 0.396 0.250 1.0 0.400
h4384 20133.5 0.491 0.165 1.0 0.400
h4385 19030.9 0.404 0.139 1.0 0.400
h4386 18187.9 0.377 0.058 1.0 0.400
h4387 18542.3 0.383 0.044 1.0 0.400
h4388 17233.4 0.411 0.000 1.0 0.400
h4389 16538.5 0.360 0.000 1.0 0.400
h4390 15723.7 0.375 0.049 1.0 0.400
h4391 16117.2 0.287 0.000 1.0 0.400
h4392 16519.6 0.427 0.064 1.0 0.400
h4393 17166.1 0.337 0.000 1.0 0.400
h4394 18000.4 0.413 0.000 1.0 0.400
h4395 17428.6 0.337 0.000 1.0 0.400
h4396 18087.4 0.353 0.000 1.0 0.400
h4397 19534.4 0.335 0.031 1.0 0.400
h4398 18743.6 0.425 0.035 1.0 0.400
h4399 21548.2 0.290 0.024 1.0 0.400
h4400 20391.9 0.356 0.031 1.0 0.400
h4401 22299.4 0.328 0.095 1.0 0.400
h4402 23005.9 0.217 0.152 1.0 0.400
h4403 21829.8 0.357 0.196 1.0 0.400
h4404 22454.2 0.396 0.268 1.0 0.400
h4405 20318.2 0.385 0.299 1.0 0.400
h4406 21790.0 0.145 0.194 1.0 0.400
h4407 20047.5 0.302 0.232 1.0 0.400
h4408 22158.9 0.446 0.174 1.0 0.400
h4409 20914.2 0.282 0.146 1.0 0.400
h4410 20145.2 0.481 0.110 1.0 0.400
h4411 19334.7 0.273 0.000 1.0 0.400
h4412 18264.5 0.253 0.025 1.0 0.400
h4413 16956.5 0.312 0.044 1.0 0.400
h4414 18009.9 0.255 0.000 1.0 0.400
h4415 15525.3 0.316 0.062 1.0 0.400
h4416 15832.7 0.361 0.006 1.0 0.400
h4417 15553.6 0.342 0.000 1.0 0.400
h4418 18017.0 0.223 0.000 1.0 0.400
h4419 16946.4 0.359 0.021 1.0 0.400
h4420 18508.7 0.362 0.034 1.0 0.400
h4421 17805.4 0.494 0.022 1.0 0.400
h4422 17900.5 0.261 0.000 1.0 0.400
h4423 21159.9 0.601 0.027 1.0 0.400
h4424 20513.6 0.324 0.094 1.0 0.400
h4425 21193.9 0.175 0.140 1.0 0.400
h4426 22337.0 0.350 0.160 1.0 0.400
h4427 23102.4 0.348 0.236 1.0 0.400
h4428 23674.6 0.434 0.245 1.0 0.400
h4429 22556.5 0.289 0.247 1.0 0.400
h4430 20152.8 0.420 0.238 1.0 0.400
h4431 20597.9 0.326 0.236 1.0 0.400
h4432 20255.9 0.267 0.146 1.0 0.400
h4433 19412.4 0.466 0.162 1.0 0.400
h4434 18893.0 0.426 0.035 1.0 0.400
h4435 17611.1 0.307 0.000 1.0 0.400
h4436 17043.5 0.381 0.000 1.0 0.400
h4437 15100.0 0.389 0.023 1.0 0.400
h4438 17194.7 0.276 0.011 1.0 0.400
h4439 15798.4 0.397 0.000 1.0 0.400
h4440 14992.6 0.378 0.000 1.0 0.400
h4441 14472.0 0.444 0.000 1.0 0.400
h4442 18122.9 0.275 0.031 1.0 0.400
h4443 17480.0 0.431 0.028 1.0 0.400
h4444 17366.3 0.449 0.010 1.0 0.400
h4445 17540.3 0.428 0.026 1.0 0.400
h4446 19329.7 0.351 0.029 1.0 0.400
h4447 18706.9 0.226 0.000 1.0 0.400
h4448 20566.7 0.412 0.015 1.0 0.400
h4449 21131.7 0.350 0.119 1.0 0.400
h4450 20957.8 0.410 0.182 1.0 0.400
h4451 20830.0 0.337 0.240 1.0 0.400
h4452 20780.1 0.291 0.214 1.0 0.400
h4453 20017.1 0.467 0.218 1.0 0.400
h4454 21199.9 0.317 0.243 1.0 0.400
h4455 20633.7 0.322 0.206 1.0 0.400
h4456 19753.6 0.318 0.149 1.0 0.400
h4457 18639.4 0.445 0.135 1.0 0.400
h4458 17704.9 0.377 0.027 1.0 0.400
h4459 16274.9 0.344 0.000 1.0 0.400
h4460 15893.6 0.380 0.004 1.0 0.400
h4461 16534.4 0.478 0.000 1.0 0.400
h4462 14496.9 0.419 0.000 1.0 0.400
h4463 15817.5 0.270 0.086 1.0 0.400
h4464 14834.3 0.348 0.013 1.0 0.400
h4465 14892.6 0.339 0.000 1.0 0.400
h4466 15059.8 0.363 0.000 1.0 0.400
h4467 14663.6 0.336 0.038 1.0 0.400
h4468 16236.5 0.394 0.020 1.0 0.400
h4469 14944.5 0.355 0.046 1.0 0.400
h4470 16974.0 0.417 0.000 1.0 0.400
h4471 18246.7 0.372 0.000 1.0 0.400
h4472 18322.4 0.499 0.075 1.0 0.400
h4473 19081.3 0.084 0.187 1.0 0.400
h4474 20144.5 0.301 0.179 1.0 0.400
h4475 19766.2 0.399 0.199 1.0 0.400
h4476 19682.1 0.399 0.237 1.0 0.400
h4477 19177.9 0.461 0.232 1.0 0.400
h4478 18511.0 0.396 0.278 1.0 0.400
h4479 17603.3 0.270 0.238 1.0 0.400
h4480 17172.0 0.224 0.218 1.0 0.400
h4481 17153.4 0.450 0.084 1.0 0.400
h4482 17065.5 0.485 0.099 1.0 0.400
h4483 16451.6 0.485 0.016 1.0 0.400
h4484 13258.7 0.349 0.038 1.0 0.400
h4485 13863.8 0.437 0.020 1.0 0.400
h4486 14197.0 0.257 0.002 1.0 0.400
h4487 14832.0 0.272 0.045 1.0 0.400
h4488 12049.3 0.489 0.000 1.0 0.400
h4489 14371.5 0.232 0.017 1.0 0.400
h4490 13730.8 0.384 0.020 1.0 0.400
h4491 14686.6 0.318 0.000 1.0 0.400
h4492 16047.9 0.307 0.027 1.0 0.400
h4493 14956.7 0.307 0.000 1.0 0.400
h4494 17633.0 0.319 0.009 1.0 0.400
h4495 17944.9 0.168 0.000 1.0 0.400
h4496 17399.8 0.332 0.027 1.0 0.400
h4497 19546.9 0.382 0.107 1.0 0.400
h4498 19897.7 0.296 0.184 1.0 0.400
h4499 20002.3 0.438 0.223 1.0 0.400
h4500 19570.8 0.396 0.255 1.0 0.400
h4501 19569.7 0.369 0.243 1.0 0.400
h4502 19287.1 0.381 0.205 1.0 0.400
h4503 19347.7 0.395 0.265 1.0 0.400
h4504 17341.8 0.162 0.228 1.0 0.400
h4505 15943.8 0.102 0.120 1.0 0.400
h4506 15611.2 0.214 0.075 1.0 0.400
h4507 16131.1 0.256 0.010 1.0 0.400
h4508 15908.1 0.436 0.041 1.0 0.400
h4509 16022.6 0.393 0.000 1.0 0.400
h4510 14283.7 0.304 0.000 1.0 0.400
h4511 13548.7 0.357 0.000 1.0 0.400
h4512 12715.0 0.292 0.012 1.0 0.400
h4513 13346.2 0.314 0.026 1.0 0.400
h4514 13832.0 0.370 0.000 1.0 0.400
h4515 15136.4 0.402 0.000 1.0 0.400
h4516 14548.9 0.394 0.006 1.0 0.400
h4517 14303.9 0.276 0.008 1.0 0.400
h4518 16081.6 0.384 0.001 1.0 0.400
h4519 17284.2 0.323 0.000 1.0 0.400
h4520 20021.3 0.372 0.029 1.0 0.400
h4521 19677.2 0.459 0.053 1.0 0.400
h4522 20944.4 0.471 0.186 1.0 0.400
h4523 19292.8 0.368 0.230 1.0 0.400
h4524 20194.5 0.353 0.235 1.0 0.400
h4525 19324.1 0.283 0.220 1.0 0.400
h4526 20578.6 0.421 0.275 1.0 0.400
h4527 18306.3 0.227 0.208 1.0 0.400
h4528 18430.6 0.456 0.182 1.0 0.400
h4529 18987.6 0.280 0.115 1.0 0.400
h4530 19063.7 0.416 0.068 1.0 0.400
h4531 17226.5 0.392 0.000 1.0 0.400
h4532 16178.5 0.292 0.024 1.0 0.400
h4533 15433.9 0.274 0.000 1.0 0.400
h4534 15245.2 0.299 0.000 1.0 0.400
h4535 15111.9 0.320 0.013 1.0 0.400
h4536 15917.5 0.315 0.018 1.0 0.400
h4537 13534.4 0.336 0.053 1.0 0.400
h4538 15673.8 0.291 0.015 1.0 0.400
h4539 16325.5 0.426 0.022 1.0 0.400
h4540 16932.7 0.327 0.000 1.0 0.400
h4541 18884.7 0.364 0.002 1.0 0.400
h4542 20103.5 0.461 0.034 1.0 0.400
h4543 20073.9 0.183 0.017 1.0 0.400
h4544 21339.8 0.278 0.049 1.0 0.400
h4545 20847.2 0.196 0.115 1.0 0.400
h4546 21228.1 0.392 0.136 1.0 0.400
h4547 22441.1 0.271 0.266 1.0 0.400
h4548 21937.3 0.424 0.251 1.0 0.400
h4549 21352.9 0.291 0.281 1.0 0.400
h4550 21357.6 0.462 0.176 1.0 0.400
h4551 20485.6 0.291 0.211 1.0 0.400
h4552 20152.1 0.290 0.148 1.0 0.400
h4553 20824.8 0.173 0.076 1.0 0.400
h4554 17679.9 0.318 0.084 1.0 0.400
h4555 17003.2 0.284 0.045 1.0 0.400
h4556 17211.9 0.375 0.000 1.0 0.400
h4557 17142.3 0.333 0.024 1.0 0.400
h4558 16163.6 0.140 0.060 1.0 0.400
h4559 16300.1 0.386 0.000 1.0 0.400
h4560 16252.6 0.231 0.000 1.0 0.400
h4561 16754.3 0.327 0.000 1.0 0.400
h4562 17884.0 0.359 0.000 1.0 0.400
h4563 17930.8 0.355 0.000 1.0 0.400
h4564 17506.1 0.299 0.000 1.0 0.400
h4565 18026.9 0.257 0.004 1.0 0.400
h4566 20123.2 0.371 0.000 1.0 0.400
h4567 20782.5 0.386 0.004 1.0 0.400
h4568 21339.9 0.201 0.080 1.0 0.400
h4569 22412.1 0.233 0.094 1.0 0.400
h4570 21542.2 0.307 0.150 1.0 0.400
h4571 22036.7 0.347 0.212 1.0 0.400
h4572 21744.4 0.409 0.203 1.0 0.400
h4573 22003.8 0.337 0.213 1.0 0.400
h4574 22279.3 0.310 0.203 1.0 0.400
h4575 20766.9 0.418 0.158 1.0 0.400
h4576 21213.4 0.297 0.198 1.0 0.400
h4577 19840.6 0.425 0.074 1.0 0.400
h4578 18290.1 0.338 0.050 1.0 0.400
h4579 18140.3 0.227 0.000 1.0 0.400
h4580 17525.8 0.360 0.000 1.0 0.400
h4581 16572.1 0.332 0.012 1.0 0.400
h4582 17081.1 0.440 0.012 1.0 0.400
h4583 17407.8 0.317 0.000 1.0 0.400
h4584 17301.3 0.332 0.000 1.0 0.400
h4585 16751.0 0.432 0.000 1.0 0.400
h4586 16624.3 0.377 0.001 1.0 0.400
h4587 17444.1 0.172 0.027 1.0 0.400
h4588 17150.5 0.371 0.021 1.0 0.400
h4589 18909.2 0.250 0.002 1.0 0.400
h4590 19643.9 0.456 0.032 1.0 0.400
h4591 21633.9 0.340 0.000 1.0 0.400
h4592 20758.6 0.422 0.065 1.0 0.400
h4593 21822.4 0.379 0.097 1.0 0.400
h4594 21444.5 0.533 0.195 1.0 0.400
h4595 21093.3 0.458 0.159 1.0 0.400
h4596 21926.8 0.381 0.277 1.0 0.400
h4597 22535.9 0.271 0.205 1.0 0.400
h4598 20570.3 0.328 0.180 1.0 0.400
h4599 20511.4 0.448 0.163 1.0 0.400
h4600 20688.9 0.186 0.111 1.0 0.400
h4601 18885.4 0.468 0.139 1.0 0.400
h4602 16649.0 0.288 0.051 1.0 0.400
h4603 18443.7 0.308 0.003 1.0 0.400
h4604 16995.6 0.366 0.000 1.0 0.400
h4605 16136.6 0.290 0.000 1.0 0.400
h4606 17305.5 0.294 0.000 1.0 0.400
h4607 17238.4 0.430 0.034 1.0 0.400
h4608 14959.5 0.286 0.000 1.0 0.400
h4609 15495.6 0.262 0.001 1.0 0.400
